cell,uid,origin,snr,fold,action,oof_nrmse
forecast|snrHigh|full,S_both:d_hi_full:4,S_both,11.874922530476454,4,v_stl,0.7957685413975786
forecast|snrHigh|full,S_both:d_hi_full:4,S_both,11.874922530476454,4,v_winsor,1.0181023560645166
forecast|snrHigh|full,S_both:d_hi_full:4,S_both,11.874922530476454,4,v_winsor_savgol,0.955751518027104
forecast|snrHigh|full,S_both:d_hi_full:5,S_both,11.968398283146984,0,v_none,0.6695947663100611
forecast|snrHigh|full,S_both:d_hi_full:5,S_both,11.968398283146984,0,v_median,0.41329628769746857
forecast|snrHigh|full,S_both:d_hi_full:5,S_both,11.968398283146984,0,v_savgol,0.8128730431668444
forecast|snrHigh|full,S_both:d_hi_full:5,S_both,11.968398283146984,0,v_stl,0.843779208600017
forecast|snrHigh|full,S_both:d_hi_full:5,S_both,11.968398283146984,0,v_winsor,0.9768927773695043
forecast|snrHigh|full,S_both:d_hi_full:5,S_both,11.968398283146984,0,v_winsor_savgol,0.9486976098806904
forecast|snrHigh|full,S_both:d_hi_full:6,S_both,12.046741424489955,1,v_none,0.6574345935335748
forecast|snrHigh|full,S_both:d_hi_full:6,S_both,12.046741424489955,1,v_median,0.5855452044506148
forecast|snrHigh|full,S_both:d_hi_full:6,S_both,12.046741424489955,1,v_savgol,0.8313948162082483
forecast|snrHigh|full,S_both:d_hi_full:6,S_both,12.046741424489955,1,v_stl,0.9252282819808669
forecast|snrHigh|full,S_both:d_hi_full:6,S_both,12.046741424489955,1,v_winsor,1.0347362354344045
forecast|snrHigh|full,S_both:d_hi_full:6,S_both,12.046741424489955,1,v_winsor_savgol,0.940624443823921
forecast|snrHigh|full,S_both:d_hi_full:7,S_both,12.140305978835908,2,v_none,0.6690610010914088
forecast|snrHigh|full,S_both:d_hi_full:7,S_both,12.140305978835908,2,v_median,0.5714504318876621
forecast|snrHigh|full,S_both:d_hi_full:7,S_both,12.140305978835908,2,v_savgol,0.8397023945596503
forecast|snrHigh|full,S_both:d_hi_full:7,S_both,12.140305978835908,2,v_stl,0.9037465957972395
forecast|snrHigh|full,S_both:d_hi_full:7,S_both,12.140305978835908,2,v_winsor,0.9953053455150983
forecast|snrHigh|full,S_both:d_hi_full:7,S_both,12.140305978835908,2,v_winsor_savgol,0.940396388563797
forecast|snrHigh|full,S_both:d_hi_full:8,S_both,12.606539768595198,3,v_none,1.1611170570701086
forecast|snrHigh|full,S_both:d_hi_full:8,S_both,12.606539768595198,3,v_median,0.47296846855564556
forecast|snrHigh|full,S_both:d_hi_full:8,S_both,12.606539768595198,3,v_savgol,0.9234633614775071
forecast|snrHigh|full,S_both:d_hi_full:8,S_both,12.606539768595198,3,v_stl,0.9546059624323221
forecast|snrHigh|full,S_both:d_hi_full:8,S_both,12.606539768595198,3,v_winsor,1.0524114261988886
forecast|snrHigh|full,S_both:d_hi_full:8,S_both,12.606539768595198,3,v_winsor_savgol,1.0087365899026395
forecast|snrHigh|full,S_both:d_hi_full:9,S_both,12.883841151418805,4,v_none,0.5534131760540562
forecast|snrHigh|full,S_both:d_hi_full:9,S_both,12.883841151418805,4,v_median,0.5511408217017414
forecast|snrHigh|full,S_both:d_hi_full:9,S_both,12.883841151418805,4,v_savgol,0.6154423444413114
forecast|snrHigh|full,S_both:d_hi_full:9,S_both,12.883841151418805,4,v_stl,0.674186185542379
forecast|snrHigh|full,S_both:d_hi_full:9,S_both,12.883841151418805,4,v_winsor,0.9647835442611445
